ASIN,Mtc Inv,Remarks
,2503689154,
,,
ASIN,Mtc Inv,Remarks
,2503689154,
,,
ASIN,Mtc Inv,Remarks
,2503689154,
B00W04QGDE,Short Received,Phase 1 Direct Shortage: 150 units short received directly
,,
ASIN,Mtc Inv,Remarks
B0B8P971HH,Short Received,Phase 1 Direct Shortage: 10 units short received directly
,,
ASIN,Mtc Inv,Remarks
B0C6SXCLHX,Short Received,Phase 1 Direct Shortage: 10 units short received directly
,,
ASIN,Mtc Inv,Remarks
B0B7S2Q2Q6,2503689154,
,,
ASIN,Mtc Inv,Remarks
,2503689154,
,,
ASIN,Mtc Inv,Remarks
,2503689154,
,,
ASIN,Mtc Inv,Remarks
,2503689154,
B00W04QGDE,Short Received,Phase 1 Direct Shortage: 150 units short received directly
,,
ASIN,Mtc Inv,Remarks
B096WF6RHQ,Short Received,Phase 1 Direct Shortage: 5 units short received directly
,,
ASIN,Mtc Inv,Remarks
B096WFBSPW,Short Received,Phase 1 Direct Shortage: 5 units short received directly
,,
ASIN,Mtc Inv,Remarks
B096WJ3SYQ,Short Received,Phase 1 Direct Shortage: 5 units short received directly
,,
ASIN,Mtc Inv,Remarks
B09MFMYFSR,Short Received,Phase 1 Direct Shortage: 5 units short received directly
,,
ASIN,Mtc Inv,Remarks
B09MFNB3Y7,Short Received,Phase 1 Direct Shortage: 5 units short received directly
,,
ASIN,Mtc Inv,Remarks
B09MFP9GPC,Short Received,Phase 1 Direct Shortage: 5 units short received directly
,,
ASIN,Mtc Inv,Remarks
B09KV3ZJBX,2503689154,
B09KTZZ8HK,2503666692,
,2503666692,
B097DZ16JY,,SR
,,
ASIN,Mtc Inv,Remarks
B07V6DTCV2,2503688875,
,,
ASIN,Mtc Inv,Remarks
,2503688875,
B00W04OG54,Short Received,Phase 1 Direct Shortage: 60 units short received directly
,,
ASIN,Mtc Inv,Remarks
B0DGXS88L1,Short Received,Phase 1 Direct Shortage: 5 units short received directly
,,
ASIN,Mtc Inv,Remarks
B086T8Y42S,Short Received,Phase 1 Direct Shortage: 5 units short received directly
,,
ASIN,Mtc Inv,Remarks
B086T8Y43X,Short Received,Phase 1 Direct Shortage: 5 units short received directly
,,
ASIN,Mtc Inv,Remarks
B0C6SYYG36,Short Received,Phase 1 Direct Shortage: 5 units short received directly
,,
ASIN,Mtc Inv,Remarks
B0GCFJYHGX,Short Received,Phase 1 Direct Shortage: 5 units short received directly
,,
ASIN,Mtc Inv,Remarks
B0GCFDYFYM,Short Received,Phase 1 Direct Shortage: 5 units short received directly
,,
ASIN,Mtc Inv,Remarks
B0GCF8HYZ9,Short Received,Phase 1 Direct Shortage: 5 units short received directly
,,
ASIN,Mtc Inv,Remarks
B0GCF4NF6R,Short Received,Phase 1 Direct Shortage: 5 units short received directly
,,
ASIN,Mtc Inv,Remarks
B0C6SXKVJS,2503689154,
,,
ASIN,Mtc Inv,Remarks
,2503689154,
,,
ASIN,Mtc Inv,Remarks
,2503689154,
,,
ASIN,Mtc Inv,Remarks
,2503689154,
B00W04QGDE,Short Received,Phase 1 Direct Shortage: 150 units short received directly
,,
ASIN,Mtc Inv,Remarks
B0C6SXQLH2,Short Received,Phase 1 Direct Shortage: 5 units short received directly
,,
ASIN,Mtc Inv,Remarks
B01ENC9V2I,Short Received,Phase 1 Direct Shortage: 5 units short received directly
